Date,Unnamed: 0,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,month,year,Day_Perc_Change,Trend,volume scaled,sma_21,sma_34,MA,roll_CP_std,UP_band,LO_band,buy,sell,MA_std
2017-08-11,63,JUBLFOOD,EQ,1317.95,1289.0,1336.2,1269.95,1298.0,1296.6,1303.81,1223225,1594854511.0,35874,132935,10.87,8,2017,-1.6199400584240742,Negative,0.11682328638974605,1282.4523809523812,1186.2632352941177,1293.2785714285717,21.539987092750266,1336.3585456140722,1250.1985972430712,,,21.539987092750266
2017-08-14,64,JUBLFOOD,EQ,1296.6,1305.0,1380.0,1305.0,1379.9,1370.7,1350.44,1253203,1692378324.0,41022,198866,15.87,8,2017,5.714946783896346,Among Top gainers,0.1199956823752016,1291.7447619047623,1198.689705882353,1298.5892857142862,29.899081401961478,1358.387448518209,1238.7911229103634,,,29.899081401961478
2017-08-16,65,JUBLFOOD,EQ,1370.7,1409.0,1444.75,1382.65,1385.95,1392.9,1411.65,2174134,3069125145.0,65805,295935,13.61,8,2017,1.6196104180345785,Positive,0.21745241088549405,1300.716666666667,1212.7279411764707,1306.4500000000007,38.63351474482036,1383.7170294896414,1229.18297051036,,,38.63351474482036
2017-08-17,66,JUBLFOOD,EQ,1392.9,1408.0,1424.5,1386.0,1399.05,1399.4,1406.79,1254835,1765287261.0,36872,162126,12.92,8,2017,0.466652308134119,Slight or No Change,0.1201683873671378,1305.1947619047623,1226.1932352941178,1315.0892857142865,44.90495166533101,1404.8991890449486,1225.2793823836244,,,44.90495166533101
2017-08-18,67,JUBLFOOD,EQ,1399.4,1390.0,1410.95,1379.0,1395.0,1394.55,1394.74,736471,1027183705.0,22279,52220,7.09,8,2017,-0.3465771044733557,Slight or No Change,0.06531296430340203,1310.004285714286,1239.4629411764708,1320.942857142858,49.646457217866875,1420.2357715785918,1221.6499427071242,,,49.646457217866875
2017-08-21,68,JUBLFOOD,EQ,1394.55,1403.8,1432.75,1372.0,1376.15,1383.6,1410.54,1008859,1423033287.0,27688,81304,8.06,8,2017,-0.7851995267290524,Slight Negative,0.09413818939134189,1315.117142857143,1251.9802941176474,1325.6464285714294,52.36558787940616,1430.3776043302416,1220.9152528126172,,,52.36558787940616
2017-08-22,69,JUBLFOOD,EQ,1383.6,1410.0,1410.05,1352.5,1359.1,1357.1,1382.09,993348,1372895272.0,28366,79862,8.04,8,2017,-1.91529343740966,Negative,0.09249675119898747,1320.7271428571432,1262.2535294117647,1330.1571428571435,52.14463928912699,1434.4464214353975,1225.8678642788896,,,52.14463928912699
2017-08-23,70,JUBLFOOD,EQ,1357.1,1369.0,1387.65,1354.0,1383.0,1380.3,1369.82,665029,910970246.4,18414,46950,7.06,8,2017,1.7095276692948191,Positive,0.05775267629243019,1326.439047619048,1271.8532352941177,1337.2678571428576,51.6744193787566,1440.6166959003708,1233.9190183853443,,,51.6744193787566
2017-08-24,71,JUBLFOOD,EQ,1380.3,1388.0,1406.0,1372.05,1389.65,1393.55,1392.81,730350,1017236349.0,20843,96493,13.21,8,2017,0.9599362457436866,Slight Positive,0.06466521475950406,1331.7471428571432,1281.2379411764705,1347.178571428572,47.801523608985434,1442.781618646543,1251.575524210601,,,47.801523608985434
2017-08-28,72,JUBLFOOD,EQ,1393.55,1392.0,1404.0,1376.1,1381.45,1382.5,1389.5,580508,806617469.9,18667,182807,31.49,8,2017,-0.792938897061457,Slight Negative,0.048808314390812776,1336.2409523809529,1290.0185294117646,1354.5500000000006,44.36230641850078,1443.2746128370022,1265.825387162999,,,44.36230641850078
2017-08-29,73,JUBLFOOD,EQ,1382.5,1388.85,1388.85,1337.45,1343.4,1344.85,1359.73,658811,895802886.7,22614,186550,28.32,8,2017,-2.7233273056057943,Negative,0.05709466180722229,1339.9804761904766,1297.325,1360.285714285715,36.28699400702203,1432.859702299759,1287.7117262716708,,,36.28699400702203
2017-08-30,74,JUBLFOOD,EQ,1344.85,1360.0,1397.75,1355.0,1370.0,1366.05,1374.25,1157869,1591204096.0,45994,278466,24.05,8,2017,1.5763839833438764,Positive,0.10990704407786962,1343.617142857143,1305.3735294117648,1362.803571428572,35.29301774640512,1433.3896069213822,1292.2175359357618,,,35.29301774640512
2017-08-31,75,JUBLFOOD,EQ,1366.05,1379.75,1405.0,1356.35,1403.15,1394.5,1378.99,765404,1055482626.0,20533,171762,22.44,8,2017,2.0826470480582726,Positive,0.06837477406546703,1346.326190476191,1313.5167647058825,1369.6107142857147,31.0127652288951,1431.636244743505,1307.5851838279245,,,31.0127652288951
2017-09-01,76,JUBLFOOD,EQ,1394.5,1395.35,1425.0,1395.05,1400.0,1403.1,1410.77,749515,1057393421.0,21662,116192,15.5,9,2017,0.6167084976694159,Slight Positive,0.06669333434924504,1351.528571428572,1322.4594117647057,1375.6928571428575,28.33603208435179,1432.3649213115611,1319.020792974154,,,28.33603208435179
2017-09-04,77,JUBLFOOD,EQ,1403.1,1397.3,1398.0,1365.05,1380.85,1379.9,1381.31,562943,777598606.9,22947,83647,14.86,9,2017,-1.6534815765091415,Negative,0.04694951342061708,1355.856190476191,1329.1067647058821,1381.6428571428576,16.8807680414731,1415.4043932258037,1347.8813210599114,,,16.8807680414731
2017-09-05,78,JUBLFOOD,EQ,1379.9,1395.0,1397.85,1370.1,1382.0,1378.85,1382.96,437298,604764277.3,12633,38842,8.88,9,2017,-0.07609247046889145,Slight or No Change,0.03365323970013673,1361.2828571428577,1333.8044117647057,1382.2250000000004,16.61277022699929,1415.4505404539989,1348.9994595460018,,,16.61277022699929
2017-09-06,79,JUBLFOOD,EQ,1378.85,1380.0,1405.0,1370.05,1393.0,1391.3,1390.73,592148,823518859.0,21284,69440,11.73,9,2017,0.9029263516698638,Slight Positive,0.0500401073480048,1367.229047619048,1336.0979411764704,1382.1107142857145,16.53902353375915,1415.1887613532328,1349.0326672181961,,,16.53902353375915
2017-09-07,80,JUBLFOOD,EQ,1391.3,1392.1,1407.4,1384.15,1390.1,1389.0,1394.46,361510,504111959.5,10434,53221,14.72,9,2017,-0.16531301660317466,Slight or No Change,0.02563303998882497,1373.1871428571433,1339.060294117647,1381.3678571428572,15.924891101451749,1413.2176393457607,1349.5180749399537,,,15.924891101451749
2017-09-08,81,JUBLFOOD,EQ,1389.0,1398.1,1404.0,1377.25,1387.0,1384.5,1389.34,468209,650501705.5,12788,62229,13.29,9,2017,-0.3239740820734305,Slight or No Change,0.036924369605614606,1377.3147619047622,1341.5947058823529,1380.65,15.505966593530747,1411.6619331870615,1349.6380668129386,,,15.505966593530747
2017-09-11,82,JUBLFOOD,EQ,1384.5,1394.0,1464.0,1385.0,1463.6,1452.0,1423.85,1423607,2027002501.0,43292,195373,13.72,9,2017,4.875406283856988,Among Top gainers,0.13802853865332437,1382.0138095238099,1346.2879411764704,1385.5357142857144,24.610179480564984,1434.7560732468444,1336.3153553245845,,,24.610179480564984
2017-09-12,83,JUBLFOOD,EQ,1452.0,1470.95,1475.45,1420.05,1424.85,1424.8,1439.32,1593399,2293412221.0,41542,368060,23.1,9,2017,-1.8732782369145995,Negative,0.15599663055947105,1387.519047619048,1351.8599999999997,1390.3714285714289,25.23628122583774,1440.8439910231043,1339.8988661197534,,,25.23628122583774
2017-09-13,84,JUBLFOOD,EQ,1424.8,1420.0,1421.0,1305.05,1338.0,1323.35,1358.03,2391392,3247588930.0,70371,405954,16.98,9,2017,-7.120297585626058,Bear Drop,0.24044355128872635,1390.1009523809528,1354.115588235294,1386.3035714285718,30.931788877892235,1448.1671491843563,1324.4399936727873,,,30.931788877892235
2017-09-14,85,JUBLFOOD,EQ,1323.35,1355.1,1383.9,1342.65,1377.2,1373.45,1366.86,3000789,4101644742.0,87027,323551,10.78,9,2017,3.785846525862402,Among Top gainers,0.3049324630356289,1390.8828571428576,1356.2252941176469,1384.8678571428575,31.035870110505503,1446.9395973638684,1322.7961169218465,,,31.035870110505503
2017-09-15,86,JUBLFOOD,EQ,1373.45,1351.1,1370.0,1345.6,1359.35,1359.15,1357.44,709529,963142810.7,27958,100372,14.15,9,2017,-1.0411736867013688,Negative,0.0624618503985337,1388.301428571429,1358.4676470588236,1383.2000000000005,31.79112720918302,1446.7822544183666,1319.6177455816344,,,31.79112720918302
2017-09-18,87,JUBLFOOD,EQ,1359.15,1384.0,1427.7,1367.2,1423.15,1423.2,1402.82,1417565,1988583823.0,44245,300821,21.22,9,2017,4.712504138616036,Among Top gainers,0.13738914921626644,1388.112380952381,1361.554117647059,1388.7964285714293,31.414820512011246,1451.6260695954518,1325.9667875474067,,,31.414820512011246
2017-09-19,88,JUBLFOOD,EQ,1423.2,1428.0,1435.0,1378.3,1400.05,1396.05,1407.76,1099926,1548436103.0,33612,113093,10.28,9,2017,-1.9076728499156868,Negative,0.103775276095174,1388.732380952381,1364.0735294117649,1390.9392857142864,30.76025269083591,1452.4597910959583,1329.4187803326145,,,30.76025269083591
