Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JUBLFOOD,EQ,15-May-17,986.35,991.85,1031,983.55,1029.6,1025.45,1009.72,576466,582068509.3,19888,115368,20.01
JUBLFOOD,EQ,16-May-17,1025.45,1028.5,1054.85,1028.5,1052,1050.65,1042.26,487510,508110696.2,15487,84859,17.41
JUBLFOOD,EQ,17-May-17,1050.65,1044,1058.75,1024.2,1047,1049.05,1039.93,393751,409472571.4,15205,61936,15.73
JUBLFOOD,EQ,18-May-17,1049.05,1039.7,1049.15,1012.2,1014.1,1019.35,1033.8,381432,394324549.9,10345,40599,10.64
JUBLFOOD,EQ,19-May-17,1019.35,1022,1042.2,1011,1012.55,1018.1,1025.24,287852,295117054.1,9834,60049,20.86
JUBLFOOD,EQ,22-May-17,1018.1,1018.1,1038,1015,1022.85,1030.3,1026.6,321837,330398168.1,9940,87006,27.03
JUBLFOOD,EQ,23-May-17,1030.3,1030,1030,990,990,993.15,1009.44,342845,346083144,12009,77703,22.66
JUBLFOOD,EQ,24-May-17,993.15,995,1005.9,966,974.45,976.45,988.12,448045,442723272.9,12040,42627,9.51
JUBLFOOD,EQ,25-May-17,976.45,974.45,1024,965.25,1024,1014.95,998.09,524803,523802982.4,23985,109155,20.8
JUBLFOOD,EQ,26-May-17,1014.95,1024,1035,982.5,993.95,992.7,1013.2,391221,396385703,17661,72571,18.55
JUBLFOOD,EQ,29-May-17,992.7,997.8,998.4,925,937.2,940.35,957.94,974901,933898388.2,24822,158323,16.24
JUBLFOOD,EQ,30-May-17,940.35,880.1,921,817.2,910.2,909.15,876.28,5504664,4823600441,135807,628329,11.41
JUBLFOOD,EQ,31-May-17,909.15,911.95,925,888,917,914.9,909.16,1195336,1086751064,35859,123904,10.37
JUBLFOOD,EQ,01-Jun-17,914.9,920,920,898.1,912.5,912.25,909.03,921483,837654417.5,22643,279276,30.31
JUBLFOOD,EQ,02-Jun-17,912.25,914.25,934.8,908.3,932,930.85,924.04,620511,573375608.4,19763,118969,19.17
JUBLFOOD,EQ,05-Jun-17,930.85,931,949,926.1,932.1,936.05,940.24,514033,483313619.6,13543,105374,20.5
JUBLFOOD,EQ,06-Jun-17,936.05,936.05,965.8,935.2,956.9,952.55,954.52,1196195,1141796685,34217,288991,24.16
JUBLFOOD,EQ,07-Jun-17,952.55,957.2,961.35,945,956.45,955.2,952.61,472750,450345925.7,12611,72293,15.29
JUBLFOOD,EQ,08-Jun-17,955.2,952,971.9,952,963.4,963.8,963.02,500353,481848465.2,11524,47326,9.46
JUBLFOOD,EQ,09-Jun-17,963.8,964,975,952.45,973,969.1,962.46,370792,356870831.6,12853,50945,13.74
JUBLFOOD,EQ,12-Jun-17,969.1,960,966.85,950.1,957.5,959.55,959.32,265930,255111838.5,7100,38470,14.47
JUBLFOOD,EQ,13-Jun-17,959.55,961.15,973,953,970.7,970.05,965.68,421456,406990193.8,9885,51514,12.22
JUBLFOOD,EQ,14-Jun-17,970.05,962,968,952,968,962.6,959.06,324857,311556021.7,11365,21369,6.58
JUBLFOOD,EQ,15-Jun-17,962.6,959.95,964.9,953,959,959.25,958.04,231706,221983581.5,9126,32167,13.88
JUBLFOOD,EQ,16-Jun-17,959.25,963,968.75,925.4,943,938.2,945.96,496384,469558754.8,13784,86728,17.47
JUBLFOOD,EQ,19-Jun-17,938.2,940.1,944.95,918.6,923.5,924.65,927.95,656933,609603939.9,19540,236955,36.07
JUBLFOOD,EQ,20-Jun-17,924.65,923.5,930.45,920,925,924,924.82,291920,269972745.5,6213,73743,25.26
JUBLFOOD,EQ,21-Jun-17,924,923,938.1,914.75,927.05,926.2,927.72,460579,427287294.3,13193,72380,15.72
JUBLFOOD,EQ,22-Jun-17,926.2,929.9,929.9,909.6,914,913.25,918.56,363307,333719330.1,11738,51771,14.25
JUBLFOOD,EQ,23-Jun-17,913.25,914,934.5,901.5,917,922.95,920.6,576549,530769176.8,17602,147377,25.56
JUBLFOOD,EQ,27-Jun-17,922.95,918,934.5,918,929,929,927.94,472073,438055571.1,14515,200907,42.56
JUBLFOOD,EQ,28-Jun-17,929,921.05,942,915.05,942,938,934.35,316313,295547578.5,8600,67830,21.44
JUBLFOOD,EQ,29-Jun-17,938,946.55,957.6,936.95,951,952.1,948.97,517249,490855347.6,15897,118293,22.87
JUBLFOOD,EQ,30-Jun-17,952.1,945,952,937.3,947.5,946.4,943.57,365054,344452426.9,27252,100981,27.66
JUBLFOOD,EQ,03-Jul-17,946.4,946.4,1006.85,946.4,1006,999.25,984.95,1016369,1001075847,29622,245785,24.18
JUBLFOOD,EQ,04-Jul-17,999.25,1012,1044,1012,1025,1025.45,1032.8,1289457,1331745337,49531,203516,15.78
JUBLFOOD,EQ,05-Jul-17,1025.45,1031.7,1057,1028.05,1048.05,1048.95,1043.43,550836,574759859.3,17081,110064,19.98
JUBLFOOD,EQ,06-Jul-17,1048.95,1045.8,1091.4,1039.2,1080,1077.85,1073.73,876216,940821133.7,27664,140650,16.05
JUBLFOOD,EQ,07-Jul-17,1077.85,1077,1102,1065.3,1100.1,1093.35,1090.96,683694,745885941,18412,95515,13.97
JUBLFOOD,EQ,10-Jul-17,1093.35,1134,1134,1099.9,1115,1112,1111.31,129919,144380289.1,5133,22435,17.27
JUBLFOOD,EQ,11-Jul-17,1112,1115,1126.2,1085.1,1093.1,1090.75,1100.6,409566,450770245.2,12933,60743,14.83
JUBLFOOD,EQ,12-Jul-17,1090.75,1093.1,1114,1090.05,1103.2,1106.1,1102.12,320543,353277039.3,9308,43191,13.47
JUBLFOOD,EQ,13-Jul-17,1106.1,1110.1,1118.6,1095.3,1117.9,1111.5,1106.72,278018,307687741.6,12283,60341,21.7
JUBLFOOD,EQ,14-Jul-17,1111.5,1115.35,1178.5,1105,1168.65,1164.6,1155.3,1579818,1825163863,45916,377304,23.88
JUBLFOOD,EQ,17-Jul-17,1164.6,1187,1285.9,1161,1269,1272.7,1223.24,6933168,8480935249,188338,444273,6.41
JUBLFOOD,EQ,18-Jul-17,1272.7,1265.1,1334.95,1247.35,1322,1325.1,1312.75,5504940,7226606536,137752,696183,12.65
JUBLFOOD,EQ,19-Jul-17,1325.1,1323.1,1329.05,1282.55,1288.95,1290,1293.74,1888442,2443145017,53320,408242,21.62
JUBLFOOD,EQ,20-Jul-17,1290,1290,1318.9,1286.95,1298.7,1298.1,1303.17,1003031,1307116305,26837,95953,9.57
JUBLFOOD,EQ,21-Jul-17,1298.1,1300,1309.45,1237.5,1250.25,1254,1264.28,1135921,1436123268,30915,136171,11.99
JUBLFOOD,EQ,24-Jul-17,1254,1252,1266.65,1233.25,1251.95,1252.2,1249.87,708924,886061970.7,19291,70314,9.92
JUBLFOOD,EQ,25-Jul-17,1252.2,1250,1308,1235.3,1295.9,1296.35,1281.34,1587139,2033671192,44968,148577,9.36
JUBLFOOD,EQ,26-Jul-17,1296.35,1302.25,1312.4,1270.8,1277,1282.85,1295.13,1266049,1639693749,39680,188110,14.86
JUBLFOOD,EQ,27-Jul-17,1282.85,1283,1298.7,1268.1,1287.9,1278.45,1281.2,872533,1117891366,30444,236799,27.14
JUBLFOOD,EQ,28-Jul-17,1278.45,1281.95,1318,1260,1313,1312.6,1297.88,1067103,1384975303,28488,138257,12.96
JUBLFOOD,EQ,31-Jul-17,1312.6,1322,1338,1304.5,1310,1317.75,1322.1,1182849,1563848709,36589,238904,20.2
JUBLFOOD,EQ,01-Aug-17,1317.75,1307.6,1321.25,1283.8,1293,1293.95,1301.52,563946,733989347.3,16853,57357,10.17
JUBLFOOD,EQ,02-Aug-17,1293.95,1280.2,1306,1269.65,1280,1280.75,1290.43,662368,854736351.3,19495,68576,10.35
JUBLFOOD,EQ,03-Aug-17,1280.75,1286,1293.9,1250,1250.6,1254.8,1269,541181,686759611.9,14982,59417,10.98
JUBLFOOD,EQ,04-Aug-17,1254.8,1256,1286,1246.8,1279.95,1279.3,1265.86,789359,999217861.4,25369,138925,17.6
JUBLFOOD,EQ,07-Aug-17,1279.3,1270.1,1286,1258,1265,1264.55,1269.34,352060,446883928.1,11858,55029,15.63
JUBLFOOD,EQ,08-Aug-17,1264.55,1275.2,1345,1255,1337.2,1330.8,1302.66,1674075,2180743309,50507,196015,11.71
JUBLFOOD,EQ,09-Aug-17,1330.8,1342,1355.75,1283.25,1297,1299.2,1325.17,1763170,2336496629,47613,345045,19.57
JUBLFOOD,EQ,10-Aug-17,1299.2,1298,1352.4,1267.2,1320,1317.95,1323.71,1926331,2549898456,53522,371359,19.28
JUBLFOOD,EQ,11-Aug-17,1317.95,1289,1336.2,1269.95,1298,1296.6,1303.81,1223225,1594854511,35874,132935,10.87
JUBLFOOD,EQ,14-Aug-17,1296.6,1305,1380,1305,1379.9,1370.7,1350.44,1253203,1692378324,41022,198866,15.87
JUBLFOOD,EQ,16-Aug-17,1370.7,1409,1444.75,1382.65,1385.95,1392.9,1411.65,2174134,3069125145,65805,295935,13.61
JUBLFOOD,EQ,17-Aug-17,1392.9,1408,1424.5,1386,1399.05,1399.4,1406.79,1254835,1765287261,36872,162126,12.92
JUBLFOOD,EQ,18-Aug-17,1399.4,1390,1410.95,1379,1395,1394.55,1394.74,736471,1027183705,22279,52220,7.09
JUBLFOOD,EQ,21-Aug-17,1394.55,1403.8,1432.75,1372,1376.15,1383.6,1410.54,1008859,1423033287,27688,81304,8.06
JUBLFOOD,EQ,22-Aug-17,1383.6,1410,1410.05,1352.5,1359.1,1357.1,1382.09,993348,1372895272,28366,79862,8.04
JUBLFOOD,EQ,23-Aug-17,1357.1,1369,1387.65,1354,1383,1380.3,1369.82,665029,910970246.4,18414,46950,7.06
JUBLFOOD,EQ,24-Aug-17,1380.3,1388,1406,1372.05,1389.65,1393.55,1392.81,730350,1017236349,20843,96493,13.21
JUBLFOOD,EQ,28-Aug-17,1393.55,1392,1404,1376.1,1381.45,1382.5,1389.5,580508,806617469.9,18667,182807,31.49
JUBLFOOD,EQ,29-Aug-17,1382.5,1388.85,1388.85,1337.45,1343.4,1344.85,1359.73,658811,895802886.7,22614,186550,28.32
